Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2005,4,11,22,2,2005-11-22,MQ,20398,MQ,N810AE,4245,13303,1330302,32467,MIA,"Miami, FL",FL,12.0,Florida,33,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,657,653.0,-4.0,0.0,0.0,-1.0,0600-0659,14.0,707.0,850.0,8.0,857,858.0,1.0,1.0,0.0,0.0,0800-0859,0.0,,0.0,120.0,125.0,103.0,1.0,650.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4,11,6,4,2003-11-06,NW,19386,NW,N345NB,1231,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,11109,1110901,30189,COS,"Colorado Springs, CO",CO,8.0,Colorado,82,1139,1135.0,-4.0,0.0,0.0,-1.0,1100-1159,35.0,1210.0,1310.0,7.0,1246,1317.0,31.0,31.0,1.0,2.0,1200-1259,0.0,,0.0,127.0,162.0,120.0,1.0,725.0,3,0.0,0.0,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4,12,13,1,1993-12-13,AA,19805,AA,,99,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,13303,1330302,32467,MIA,"Miami, FL",FL,12.0,Florida,33,1505,1506.0,1.0,1.0,0.0,0.0,1500-1559,,,,,1805,1755.0,-10.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,180.0,169.0,,1.0,1090.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,9,22,2,1992-09-22,AS,19930,AS,,482,14057,1405701,34057,PDX,"Portland, OR",OR,41.0,Oregon,92,14831,1483101,32457,SJC,"San Jose, CA",CA,6.0,California,91,1105,1105.0,0.0,0.0,0.0,0.0,1100-1159,,,,,1245,1245.0,0.0,0.0,0.0,0.0,1200-1259,0.0,,0.0,100.0,100.0,,1.0,569.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3,7,16,3,2003-07-16,DL,19790,DL,N382DL,392,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,11193,1119301,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,1105,1104.0,-1.0,0.0,0.0,-1.0,1100-1159,13.0,1117.0,1331.0,6.0,1348,1337.0,-11.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,103.0,93.0,74.0,1.0,539.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3,8,8,4,1996-08-08,WN,19393,WN,N68,550,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40.0,Oklahoma,73,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,910,910.0,0.0,0.0,0.0,0.0,0900-0959,4.0,914.0,1001.0,5.0,1010,1006.0,-4.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,60.0,56.0,47.0,1.0,313.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,1,21,4,1993-01-21,HP,19991,HP,,241,10821,1082102,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,11066,1106601,31066,CMH,"Columbus, OH",OH,39.0,Ohio,44,1415,1415.0,0.0,0.0,0.0,0.0,1400-1459,,,,,1543,1530.0,-13.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,88.0,75.0,,1.0,336.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1,2,21,5,1997-02-21,AA,19805,AA,N446AA,1209,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,905,920.0,15.0,15.0,1.0,1.0,0900-0959,14.0,934.0,1029.0,6.0,1025,1035.0,10.0,10.0,0.0,0.0,1000-1059,0.0,,0.0,200.0,195.0,175.0,1.0,1235.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3,9,10,1,2012-09-10,UA,19977,UA,N16703,1181,11618,1161802,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6.0,California,91,1830,1840.0,10.0,10.0,0.0,0.0,1800-1859,62.0,1942.0,2156.0,6.0,2132,2202.0,30.0,30.0,1.0,2.0,2100-2159,0.0,,0.0,362.0,382.0,314.0,1.0,2434.0,10,10.0,0.0,20.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2,6,16,6,2001-06-16,US,20355,US,N260A,2610,14027,1402701,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12.0,Florida,33,10821,1082102,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,1205,1158.0,-7.0,0.0,0.0,-1.0,1200-1259,10.0,1208.0,1411.0,5.0,1433,1416.0,-17.0,0.0,0.0,-2.0,1400-1459,0.0,,0.0,148.0,138.0,123.0,1.0,883.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
