Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
1989,3,9,12,2,1989-09-12,TW,20211,TW,,612,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,848,848.0,0.0,0.0,0.0,0.0,0800-0859,,,,,956,948.0,-8.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,68.0,60.0,,1.0,256.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3,7,3,1,2006-07-03,AS,19930,AS,N705AS,376,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1000,1010.0,10.0,10.0,0.0,0.0,1000-1059,13.0,1023.0,1214.0,7.0,1209,1221.0,12.0,12.0,0.0,0.0,1200-1259,0.0,,0.0,129.0,131.0,111.0,1.0,679.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,3,14,5,2003-03-14,XE,20374,RU,N14933,2402,12339,1233902,32337,IND,"Indianapolis, IN",IN,18.0,Indiana,42,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1115,1115.0,0.0,0.0,0.0,0.0,1100-1159,15.0,1130.0,1307.0,8.0,1311,1315.0,4.0,4.0,0.0,0.0,1300-1359,0.0,,0.0,116.0,120.0,97.0,1.0,644.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,2,5,25,4,1995-05-25,TW,20211,TW,N64339,572,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40.0,Oklahoma,73,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,1755,1832.0,37.0,37.0,1.0,2.0,1700-1759,9.0,1841.0,1957.0,6.0,1923,2003.0,40.0,40.0,1.0,2.0,1900-1959,0.0,,0.0,88.0,91.0,76.0,1.0,462.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,4,12,2,2,1997-12-02,WN,19393,WN,N360,1705,10800,1080001,32575,BUR,"Burbank, CA",CA,6.0,California,91,13796,1379601,32457,OAK,"Oakland, CA",CA,6.0,California,91,1445,1450.0,5.0,5.0,0.0,0.0,1400-1459,5.0,1455.0,1547.0,4.0,1555,1551.0,-4.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,70.0,61.0,52.0,1.0,325.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,6,9,1,2008-06-09,9E,20363,9E,88369E,4776,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,12339,1233903,32337,IND,"Indianapolis, IN",IN,18.0,Indiana,42,1040,1040.0,0.0,0.0,0.0,0.0,1000-1059,43.0,1123.0,1259.0,23.0,1310,1322.0,12.0,12.0,0.0,0.0,1300-1359,0.0,,0.0,150.0,162.0,96.0,1.0,659.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,6,21,2,2016-06-21,OO,20304,OO,N594SW,5158,13342,1334205,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,13930,1393004,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1020,1013.0,-7.0,0.0,0.0,-1.0,1000-1059,10.0,1023.0,1042.0,11.0,1112,1053.0,-19.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,52.0,40.0,19.0,1.0,67.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,8,30,4,2018-08-30,DL,19790,DL,N322NB,1438,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,730,722.0,-8.0,0.0,0.0,-1.0,0700-0759,13.0,735.0,819.0,10.0,841,829.0,-12.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,191.0,187.0,164.0,1.0,1235.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,4,10,17,4,2002-10-17,DL,19790,DL,N3764D,431,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1025,1023.0,-2.0,0.0,0.0,-1.0,1000-1059,25.0,1048.0,1145.0,8.0,1148,1153.0,5.0,5.0,0.0,0.0,1100-1159,0.0,,0.0,143.0,150.0,117.0,1.0,732.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,8,18,6,2007-08-18,MQ,20398,MQ,N848AE,4727,14492,1449201,34492,RDU,"Raleigh/Durham, NC",NC,37.0,North Carolina,36,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,700,657.0,-3.0,0.0,0.0,-1.0,0700-0759,10.0,707.0,812.0,5.0,835,817.0,-18.0,0.0,0.0,-2.0,0800-0859,0.0,,0.0,95.0,80.0,65.0,1.0,431.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,3,9,19,4,2002-09-19,UA,19977,UA,N303UA,1927,11066,1106601,31066,CMH,"Columbus, OH",OH,39.0,Ohio,44,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1950,2122.0,92.0,92.0,1.0,6.0,1900-1959,15.0,2137.0,2133.0,5.0,2010,2138.0,88.0,88.0,1.0,5.0,2000-2059,0.0,,0.0,80.0,76.0,56.0,1.0,296.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,4,23,1,2018-04-23,DL,19790,DL,N922DL,2184,10397,1039707,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,14730,1473003,33044,SDF,"Louisville, KY",KY,21.0,Kentucky,52,1508,1510.0,2.0,2.0,0.0,0.0,1500-1559,14.0,1524.0,1617.0,6.0,1630,1623.0,-7.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,82.0,73.0,53.0,1.0,321.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4,11,21,7,2010-11-21,MQ,20398,MQ,N619MQ,3393,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,630,626.0,-4.0,0.0,0.0,-1.0,0600-0659,10.0,636.0,829.0,7.0,850,836.0,-14.0,0.0,0.0,-1.0,0800-0859,0.0,,0.0,140.0,130.0,113.0,1.0,853.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3,9,23,6,2000-09-23,WN,19393,WN,N93,2438,13232,1323201,30977,MDW,"Chicago, IL",IL,17.0,Illinois,41,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,1515,1535.0,20.0,20.0,1.0,1.0,1500-1559,10.0,1545.0,1632.0,2.0,1620,1634.0,14.0,14.0,0.0,0.0,1600-1659,0.0,,0.0,65.0,59.0,47.0,1.0,251.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4,12,6,2,2011-12-06,B6,20409,B6,N537JB,859,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,14843,1484303,34819,SJU,"San Juan, PR",PR,72.0,Puerto Rico,3,810,809.0,-1.0,0.0,0.0,-1.0,0800-0859,15.0,824.0,1240.0,31.0,1311,1311.0,0.0,0.0,0.0,0.0,1300-1359,0.0,,0.0,241.0,242.0,196.0,1.0,1674.0,7,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,2,5,12,5,1989-05-12,CO,19704,CO,,224,14027,1402701,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12.0,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,815,819.0,4.0,4.0,0.0,0.0,0800-0859,,,,,1055,1116.0,21.0,21.0,1.0,1.0,1000-1059,0.0,,0.0,160.0,177.0,,1.0,1024.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4,11,10,4,1994-11-10,WN,19393,WN,,1270,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,1300,1300.0,0.0,0.0,0.0,0.0,1300-1359,,,,,1315,1319.0,4.0,4.0,0.0,0.0,1300-1359,0.0,,0.0,75.0,79.0,,1.0,370.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2,5,30,1,1988-05-30,NW,19386,NW,,156,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,2100,2116.0,16.0,16.0,1.0,1.0,2100-2159,,,,,2202,2217.0,15.0,15.0,1.0,1.0,2200-2259,0.0,,0.0,62.0,61.0,,1.0,297.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,4,13,3,2005-04-13,OO,20304,OO,N912SW,6917,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,15919,1591901,31834,XNA,"Fayetteville, AR",AR,5.0,Arkansas,71,1455,1454.0,-1.0,0.0,0.0,-1.0,1400-1459,9.0,1503.0,1613.0,3.0,1646,1616.0,-30.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,111.0,82.0,70.0,1.0,522.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4,10,29,2,2019-10-29,B6,20409,B6,N999JQ,162,14893,1489302,33192,SMF,"Sacramento, CA",CA,6.0,California,91,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,2231,2219.0,-12.0,0.0,0.0,-1.0,2200-2259,10.0,2229.0,606.0,7.0,638,613.0,-25.0,0.0,0.0,-2.0,0600-0659,0.0,,0.0,307.0,294.0,277.0,1.0,2521.0,11,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1,2,26,7,1995-02-26,CO,19704,CO,N478AC,239,14683,1468301,33214,SAT,"San Antonio, TX",TX,48.0,Texas,74,12266,1226601,31453,IAH,"Houston, TX",TX,48.0,Texas,74,1830,1827.0,-3.0,0.0,0.0,-1.0,1800-1859,12.0,1839.0,1909.0,10.0,1923,1919.0,-4.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,53.0,52.0,30.0,1.0,191.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4,11,24,6,2018-11-24,B6,20409,B6,N834JB,1729,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,33,1352,1337.0,-15.0,0.0,0.0,-1.0,1300-1359,20.0,1357.0,1631.0,2.0,1702,1633.0,-29.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,190.0,176.0,154.0,1.0,1074.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,2,4,5,2000-02-04,WN,19393,WN,N68,199,10693,1069301,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,54,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,910,908.0,-2.0,0.0,0.0,-1.0,0900-0959,6.0,914.0,1146.0,5.0,1150,1151.0,1.0,1.0,0.0,0.0,1100-1159,0.0,,0.0,100.0,103.0,92.0,1.0,616.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,3,8,22,2,2006-08-22,B6,20409,B6,N571JB,52,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,615,607.0,-8.0,0.0,0.0,-1.0,0600-0659,23.0,630.0,836.0,18.0,845,854.0,9.0,9.0,0.0,0.0,0800-0859,0.0,,0.0,150.0,167.0,126.0,1.0,944.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,3,13,6,2004-03-13,US,20355,US,N521AU,983,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,1700,1656.0,-4.0,0.0,0.0,-1.0,1700-1759,15.0,1711.0,1833.0,4.0,1904,1837.0,-27.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,124.0,101.0,82.0,1.0,544.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,4,10,23,1,2006-10-23,US,20355,US,N409US,770,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,10693,1069301,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,54,2135,2145.0,10.0,10.0,0.0,0.0,2100-2159,17.0,2202.0,2213.0,4.0,2155,2217.0,22.0,22.0,1.0,1.0,2100-2159,0.0,,0.0,80.0,92.0,71.0,1.0,329.0,2,10.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3,9,15,4,1988-09-15,NW,19386,NW,,1201,12953,1295301,31703,LGA,"New York, NY",NY,36.0,New York,22,13342,1334202,33342,MKE,"Milwaukee, WI",WI,55.0,Wisconsin,45,715,715.0,0.0,0.0,0.0,0.0,0700-0759,,,,,820,832.0,12.0,12.0,0.0,0.0,0800-0859,0.0,,0.0,125.0,137.0,,1.0,738.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,1,3,4,5,1988-03-04,DL,19790,DL,,715,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1515,1526.0,11.0,11.0,0.0,0.0,1500-1559,,,,,1619,1650.0,31.0,31.0,1.0,2.0,1600-1659,0.0,,0.0,124.0,144.0,,1.0,731.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,4,14,3,1993-04-14,HP,19991,HP,,642,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,13891,1389101,32575,ONT,"Ontario, CA",CA,6.0,California,91,1940,1943.0,3.0,3.0,0.0,0.0,1900-1959,,,,,2030,2033.0,3.0,3.0,0.0,0.0,2000-2059,0.0,,0.0,50.0,50.0,,1.0,197.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3,7,8,7,2018-07-08,WN,19393,WN,N489WN,4069,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,10397,1039707,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1415,1636.0,141.0,141.0,1.0,9.0,1400-1459,18.0,1654.0,2327.0,6.0,2120,2333.0,133.0,133.0,1.0,8.0,2100-2159,0.0,,0.0,245.0,237.0,213.0,1.0,1747.0,7,133.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3,7,23,6,2011-07-23,AA,19805,AA,N4WJAA,1803,10693,1069302,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,54,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1430,1424.0,-6.0,0.0,0.0,-1.0,1400-1459,8.0,1432.0,1553.0,11.0,1625,1604.0,-21.0,0.0,0.0,-2.0,1600-1659,0.0,,0.0,115.0,100.0,81.0,1.0,631.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,1,5,6,2008-01-05,DL,19790,DL,N609DL,971,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1712,1832.0,80.0,80.0,1.0,5.0,1700-1759,30.0,1902.0,2135.0,6.0,2028,2141.0,73.0,73.0,1.0,4.0,2000-2059,0.0,,0.0,316.0,309.0,273.0,1.0,1968.0,8,0.0,0.0,3.0,0.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,4,11,20,1,2006-11-20,NW,19386,NW,N520US,215,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,1220,1220.0,0.0,0.0,0.0,0.0,1200-1259,20.0,1240.0,1425.0,9.0,1409,1434.0,25.0,25.0,1.0,1.0,1400-1459,0.0,,0.0,289.0,314.0,285.0,1.0,1927.0,8,0.0,0.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4,10,30,1,2000-10-30,AA,19805,AA,N429AA,561,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1941,1948.0,7.0,7.0,0.0,0.0,1900-1959,11.0,1959.0,2112.0,14.0,2114,2126.0,12.0,12.0,0.0,0.0,2100-2159,0.0,,0.0,153.0,158.0,133.0,1.0,929.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,21,1,2016-03-21,AA,19805,AA,N3MPAA,1583,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,33,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,74,1706,1701.0,-5.0,0.0,0.0,-1.0,1700-1759,28.0,1729.0,1859.0,12.0,1906,1911.0,5.0,5.0,0.0,0.0,1900-1959,0.0,,0.0,180.0,190.0,150.0,1.0,964.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2,5,22,4,2003-05-22,WN,19393,WN,N695,584,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1710,1719.0,9.0,9.0,0.0,0.0,1700-1759,6.0,1725.0,1944.0,4.0,1950,1948.0,-2.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,100.0,89.0,79.0,1.0,590.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,2,4,11,1,1994-04-11,WN,19393,WN,,592,10140,1014001,30140,ABQ,"Albuquerque, NM",NM,35.0,New Mexico,86,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,835,835.0,0.0,0.0,0.0,0.0,0800-0859,,,,,1000,952.0,-8.0,0.0,0.0,-1.0,1000-1059,0.0,,0.0,145.0,137.0,,1.0,896.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,22,5,2013-02-22,US,20355,US,N957UW,1635,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,14100,1410002,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,23,1630,1632.0,2.0,2.0,0.0,0.0,1600-1659,11.0,1643.0,1746.0,7.0,1806,1753.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,96.0,81.0,63.0,1.0,280.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,1,24,7,2016-01-24,AA,19805,AA,,2120,11278,1127803,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,1630,,,,,,1600-1659,,,,,1802,,,,,,1800-1859,1.0,B,0.0,92.0,,,1.0,399.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,5,7,3,2008-05-07,AS,19930,AS,N775AS,69,12819,1281901,31401,KTN,"Ketchikan, AK",AK,2.0,Alaska,1,12523,1252301,32523,JNU,"Juneau, AK",AK,2.0,Alaska,1,2052,2150.0,58.0,58.0,1.0,3.0,2000-2059,9.0,2159.0,2242.0,4.0,2149,2246.0,57.0,57.0,1.0,3.0,2100-2159,0.0,,0.0,57.0,56.0,43.0,1.0,234.0,1,0.0,0.0,0.0,0.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,4,16,4,2009-04-16,UA,19977,UA,N460UA,711,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4.0,Arizona,81,1214,1450.0,156.0,156.0,1.0,10.0,1200-1259,26.0,1516.0,1624.0,8.0,1404,1632.0,148.0,148.0,1.0,9.0,1400-1459,0.0,,0.0,230.0,222.0,188.0,1.0,1440.0,6,9.0,0.0,0.0,0.0,139.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,3,10,1,2014-03-10,WN,19393,WN,N7811F,2780,10821,1082103,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,11267,1126702,31267,DAY,"Dayton, OH",OH,39.0,Ohio,44,1020,1017.0,-3.0,0.0,0.0,-1.0,1000-1059,9.0,1026.0,1135.0,5.0,1150,1140.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,90.0,83.0,69.0,1.0,406.0,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,4,28,6,2018-04-28,OO,20304,OO,N884AS,5674,14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,6.0,California,91,14771,1477104,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1247,1245.0,-2.0,0.0,0.0,-1.0,1200-1259,14.0,1259.0,1348.0,16.0,1359,1404.0,5.0,5.0,0.0,0.0,1300-1359,0.0,,0.0,72.0,79.0,49.0,1.0,190.0,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2,4,3,5,2015-04-03,WN,19393,WN,N969WN,3491,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,15376,1537602,30436,TUS,"Tucson, AZ",AZ,4.0,Arizona,81,2230,2303.0,33.0,33.0,1.0,2.0,2200-2259,13.0,2316.0,6.0,5.0,2340,11.0,31.0,31.0,1.0,2.0,2300-2359,0.0,,0.0,70.0,68.0,50.0,1.0,365.0,2,31.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,3,7,13,1,1998-07-13,WN,19393,WN,N615,727,14893,1489301,33192,SMF,"Sacramento, CA",CA,6.0,California,91,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,1020,1026.0,6.0,6.0,0.0,0.0,1000-1059,6.0,1032.0,1130.0,4.0,1130,1134.0,4.0,4.0,0.0,0.0,1100-1159,0.0,,0.0,70.0,68.0,58.0,1.0,397.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1,1,15,1,1990-01-15,UA,19977,UA,,105,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,815,820.0,5.0,5.0,0.0,0.0,0800-0859,,,,,1029,1043.0,14.0,14.0,0.0,0.0,1000-1059,0.0,,0.0,254.0,263.0,,1.0,1745.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2,5,14,4,2009-05-14,WN,19393,WN,N620SW,3657,14492,1449201,34492,RDU,"Raleigh/Durham, NC",NC,37.0,North Carolina,36,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42.0,Pennsylvania,23,2015,2043.0,28.0,28.0,1.0,1.0,2000-2059,10.0,2053.0,2150.0,22.0,2135,2212.0,37.0,37.0,1.0,2.0,2100-2159,0.0,,0.0,80.0,89.0,57.0,1.0,336.0,2,0.0,0.0,9.0,0.0,28.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,2,4,1,1,1991-04-01,NW,19386,NW,,895,14027,1402701,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12.0,Florida,33,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,830,829.0,-1.0,0.0,0.0,-1.0,0800-0859,,,,,1118,1123.0,5.0,5.0,0.0,0.0,1100-1159,0.0,,0.0,168.0,174.0,,1.0,1087.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
